"search-number","evaluation","evals-requested-so-far","density*","probability-of-spread*","south-wind-speed*","west-wind-speed*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","48","500","80","67","15","20","""-802230828""","26.976207986325058","26.976207986325058","26.976207986325058","0","26.976207986325058"
"1","49","500","80","67","15","20","""-1511873568""","25.69257999721576","25.69257999721576","25.69257999721576","0","25.69257999721576"
"1","50","500","80","67","15","20","""-1054762623""","27.922142473706185","27.922142473706185","27.922142473706185","0","27.922142473706185"
"1","51","500","96","60","15","5","""168424868""","26.302572716236217","26.302572716236217","26.302572716236217","0","26.302572716236217"
"1","52","500","96","60","15","5","""1081333165""","26.055612770339852","26.055612770339852","26.055612770339852","0","26.055612770339852"
"1","53","500","96","60","15","5","""1896436781""","25.82645313173514","25.82645313173514","25.82645313173514","0","25.82645313173514"
"1","54","500","96","60","15","5","""-657532444""","26.94661425941589","26.94661425941589","26.94661425941589","0","26.94661425941589"
"1","55","500","96","60","15","5","""-234028739""","26.656468749480407","26.656468749480407","26.656468749480407","0","26.656468749480407"
"1","56","500","96","60","15","5","""-1366220092""","26.53149266609146","26.53149266609146","26.53149266609146","0","26.53149266609146"
"1","57","500","96","60","15","5","""-1916734658""","25.84529028829547","25.84529028829547","25.84529028829547","0","25.84529028829547"
"1","58","500","96","60","15","5","""735926875""","25.66615721974882","25.66615721974882","25.66615721974882","0","25.66615721974882"
"1","59","500","96","60","15","5","""82365620""","26.84096945551129","26.84096945551129","26.84096945551129","0","26.84096945551129"
"1","60","500","96","60","15","5","""1421033652""","26.400411495320903","26.400411495320903","26.400411495320903","0","26.400411495320903"
"1","61","500","81","59","19","15","""1225951401""","12.140204727194137","12.140204727194137","12.140204727194137","0","12.140204727194137"
"1","62","500","81","59","19","15","""-1334834683""","14.31605860949946","14.31605860949946","14.31605860949946","0","14.31605860949946"
"1","63","500","81","59","19","15","""1523045481""","12.656858502812634","12.656858502812634","12.656858502812634","0","12.656858502812634"
"1","64","500","81","59","19","15","""499114419""","12.001577598106882","12.001577598106882","12.001577598106882","0","12.001577598106882"
"1","65","500","81","59","19","15","""1630446555""","13.896591735992292","13.896591735992292","13.896591735992292","0","13.896591735992292"
