"search-number","evaluation","density*","probability-of-spread*","south-wind-speed*","west-wind-speed*","num-replicates","best-fitness-so-far"
"1","10","95","87","8","21","10","39.11609806376025"
"1","20","79","99","11","18","10","34.45214679245205"
"1","30","49","69","15","11","10","1.7764780065206551"
"1","80","42","66","22","16","10","1.6851855686458808"
"1","110","59","42","24","21","10","1.3412886303550295"
"1","150","73","40","19","13","10","1.2735254196489563"
"1","350","63","44","6","7","10","1.192190830681035"
