"search-number","evaluation","density*","probability-of-spread*","south-wind-speed*","west-wind-speed*","fitness","num-replicates","best-fitness-so-far"
"1","10","95","87","8","21","39.11609806376025","10","39.11609806376025"
"1","20","79","99","11","18","34.45214679245205","10","34.45214679245205"
"1","30","49","69","15","11","1.7764780065206551","10","1.7764780065206551"
"1","40","74","57","8","19","3.665450638005536","10","1.7764780065206551"
"1","50","80","67","15","20","26.445351691914045","10","1.7764780065206551"
"1","60","96","60","15","5","26.307204275217543","10","1.7764780065206551"
"1","70","81","59","19","15","13.844439814962803","10","1.7764780065206551"
"1","80","42","66","22","16","1.6851855686458808","10","1.6851855686458808"
"1","90","58","93","5","12","7.295099605231077","10","1.6851855686458808"
"1","100","97","76","25","24","39.56383387681314","10","1.6851855686458808"
"1","110","59","42","24","21","1.3412886303550295","10","1.3412886303550295"
"1","120","81","72","16","10","26.047921755609973","10","1.3412886303550295"
"1","130","78","94","20","6","33.65200378011171","10","1.3412886303550295"
"1","140","96","84","14","13","38.62461642349545","10","1.3412886303550295"
"1","150","73","40","19","13","1.2735254196489563","10","1.2735254196489563"
"1","160","91","85","10","5","35.690093211416986","10","1.2735254196489563"
"1","170","76","90","20","15","32.198193155204564","10","1.2735254196489563"
"1","180","88","54","15","24","22.14248843563518","10","1.2735254196489563"
"1","190","40","59","15","18","1.6649009886547783","10","1.2735254196489563"
"1","200","71","60","9","5","2.3532363918895234","10","1.2735254196489563"
"1","210","50","60","25","18","1.6741028879452728","10","1.2735254196489563"
"1","220","40","97","8","20","2.0819252219569315","10","1.2735254196489563"
"1","230","71","89","7","12","29.107864373094152","10","1.2735254196489563"
"1","240","76","73","6","12","22.578201251788478","10","1.2735254196489563"
"1","250","79","63","24","18","18.636295784660337","10","1.2735254196489563"
"1","260","83","59","8","22","19.863649223040714","10","1.2735254196489563"
"1","270","96","78","15","12","36.94217064365121","10","1.2735254196489563"
"1","280","47","60","14","16","1.5415372819403494","10","1.2735254196489563"
"1","290","61","97","21","11","11.28971750907419","10","1.2735254196489563"
"1","300","88","62","15","14","26.168320053885203","10","1.2735254196489563"
"1","310","100","51","15","22","29.18565737051793","10","1.2735254196489563"
"1","320","40","77","20","6","1.7361422901997163","10","1.2735254196489563"
"1","330","58","63","14","18","1.9863029137885","10","1.2735254196489563"
"1","340","92","54","9","6","13.556830466488236","10","1.2735254196489563"
"1","350","63","44","6","7","1.192190830681035","10","1.192190830681035"
"1","360","57","49","9","11","1.333431983934106","10","1.192190830681035"
"1","370","71","81","5","15","24.628539066682862","10","1.192190830681035"
"1","380","48","66","22","9","1.6323513050727363","10","1.192190830681035"
"1","390","77","65","7","18","16.504002928143315","10","1.192190830681035"
"1","400","71","50","10","10","1.6405684035535644","10","1.192190830681035"
"1","410","52","59","5","13","1.548677821158387","10","1.192190830681035"
"1","420","46","80","13","15","2.1015368275163104","10","1.192190830681035"
"1","430","51","54","18","16","1.5106154260241558","10","1.192190830681035"
"1","440","40","90","19","19","1.953726730254043","10","1.192190830681035"
"1","450","43","56","5","24","1.608580225920835","10","1.192190830681035"
"1","460","55","88","22","17","3.9385014906272096","10","1.192190830681035"
"1","470","59","43","23","17","1.2863706945357785","10","1.192190830681035"
"1","480","68","73","20","9","7.58161822507936","10","1.192190830681035"
"1","490","77","72","15","7","19.958861098851376","10","1.192190830681035"
"1","500","47","60","19","11","1.4824125849888004","10","1.192190830681035"
