"search-number","evaluation","evals-requested-so-far","density*","probability-of-spread*","south-wind-speed*","west-wind-speed*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","1","160","95","87","8","21","""-850445860""","39.11781970649895","39.11781970649895","39.11781970649895","0","39.11781970649895"
"1","2","160","95","87","8","21","""-253657527""","39.061792191668204","39.061792191668204","39.061792191668204","0","39.061792191668204"
"1","3","160","95","87","8","21","""281278102""","39.02152379033612","39.02152379033612","39.02152379033612","0","39.02152379033612"
"1","4","160","95","87","8","21","""-861844380""","39.08752764560016","39.08752764560016","39.08752764560016","0","39.08752764560016"
"1","5","160","95","87","8","21","""-764734402""","39.22718589765072","39.22718589765072","39.22718589765072","0","39.22718589765072"
"1","6","160","95","87","8","21","""466127198""","39.25475004611695","39.25475004611695","39.25475004611695","0","39.25475004611695"
"1","7","160","95","87","8","21","""-13482009""","38.865750848083835","38.865750848083835","38.865750848083835","0","38.865750848083835"
"1","8","160","95","87","8","21","""-1099404140""","39.16178912237744","39.16178912237744","39.16178912237744","0","39.16178912237744"
"1","9","160","95","87","8","21","""-888515457""","38.99674747677967","38.99674747677967","38.99674747677967","0","38.99674747677967"
"1","10","160","95","87","8","21","""1413411425""","39.011727544608355","39.011727544608355","39.011727544608355","0","39.011727544608355"
"1","11","160","79","99","11","18","""-1586538049""","34.35746295772942","34.35746295772942","34.35746295772942","0","34.35746295772942"
"1","12","160","79","99","11","18","""1559439645""","34.679114128677654","34.679114128677654","34.679114128677654","0","34.679114128677654"
"1","13","160","79","99","11","18","""295941155""","34.25270670779653","34.25270670779653","34.25270670779653","0","34.25270670779653"
"1","14","160","79","99","11","18","""-1969569548""","34.537950473122606","34.537950473122606","34.537950473122606","0","34.537950473122606"
"1","15","160","79","99","11","18","""-633907056""","34.3043049092484","34.3043049092484","34.3043049092484","0","34.3043049092484"
"1","16","160","79","99","11","18","""-1338718722""","34.67945887358998","34.67945887358998","34.67945887358998","0","34.67945887358998"
